voldoende,blok,student,toets_code,toets_naam
1,1,1,7,7
1,1,2,7,7
1,1,3,7,7
1,1,4,7,7
1,1,5,7,7
1,1,6,7,7
1,1,7,7,7
1,1,8,7,7
1,1,9,7,7
1,1,10,7,7
1,1,11,7,7
1,1,12,7,7
1,1,13,7,7
1,1,14,7,7
1,1,15,7,7
1,1,16,7,7
1,1,17,7,7
1,1,18,7,7
1,1,19,7,7
1,1,20,7,7
1,1,21,7,7
1,1,22,7,7
1,1,23,7,7
1,1,24,7,7
1,1,25,7,7
1,1,26,7,7
1,1,27,7,7
1,1,28,7,7
1,1,29,7,7
1,1,30,7,7
1,1,31,7,7
1,1,32,7,7
1,1,33,7,7
1,1,34,7,7
1,1,35,7,7
1,1,36,7,7
1,1,37,7,7
1,1,38,7,7
1,1,39,7,7
1,1,40,7,7
1,1,41,7,7
1,1,42,7,7
1,1,43,7,7
1,1,44,7,7
1,1,45,7,7
1,1,46,7,7
1,1,47,7,7
1,1,48,7,7
1,1,49,7,7
1,1,50,7,7
1,1,51,7,7
1,1,52,7,7
1,1,53,7,7
1,1,54,7,7
1,1,55,7,7
1,1,56,7,7
1,1,57,7,7
1,1,58,7,7
1,1,59,7,7
1,1,60,7,7
1,1,61,7,7
1,1,62,7,7
1,1,63,7,7
1,1,64,7,7
1,1,65,7,7
1,1,66,7,7
1,1,67,7,7
1,1,68,7,7
1,1,69,7,7
1,1,70,7,7
1,1,71,7,7
1,1,72,7,7
1,1,73,7,7
1,1,74,7,7
1,1,75,7,7
1,1,76,7,7
1,1,77,7,7
1,1,78,7,7
1,1,79,7,7
1,1,80,7,7
1,1,81,7,7
1,1,82,7,7
1,1,83,7,7
1,1,84,7,7
1,1,85,7,7
1,1,86,7,7
1,1,87,7,7
1,1,88,7,7
1,1,89,7,7
1,1,90,7,7
1,1,91,7,7
1,1,92,7,7
1,1,93,7,7
1,1,94,7,7
1,1,95,7,7
1,1,96,7,7
1,1,97,7,7
1,1,98,7,7
1,1,99,7,7
1,1,100,7,7
1,1,101,7,7
1,1,102,7,7
1,1,103,7,7
1,1,104,7,7
1,1,105,7,7
1,1,106,7,7
1,1,107,7,7
1,1,108,7,7
1,1,109,7,7
1,1,110,7,7
1,1,111,7,7
1,1,112,7,7
1,1,113,7,7
1,1,114,7,7
1,1,115,7,7
1,1,116,7,7
1,1,117,7,7
1,1,118,7,7
1,1,119,7,7
1,1,120,7,7
1,1,121,7,7
1,1,122,7,7
1,1,123,7,7
1,1,124,7,7
1,1,125,7,7
1,1,126,7,7
1,1,127,7,7
1,1,128,7,7
1,1,129,7,7
1,1,130,7,7
1,1,131,7,7
1,1,132,7,7
1,1,133,7,7
1,1,134,7,7
1,1,135,7,7
1,1,136,7,7
1,1,137,7,7
1,1,138,7,7
1,1,139,7,7
1,1,140,7,7
1,1,141,7,7
1,1,142,7,7
1,1,143,7,7
1,1,144,7,7
1,1,145,7,7
1,1,146,7,7
1,1,147,7,7
1,1,148,7,7
1,1,149,7,7
1,1,150,7,7
1,1,151,7,7
1,1,152,7,7
1,1,153,7,7
1,1,154,7,7
1,1,155,7,7
1,1,156,7,7
1,1,157,7,7
1,1,158,7,7
1,1,159,7,7
1,1,160,7,7
1,2,1,8,8
1,2,2,8,8
1,2,3,8,8
1,2,4,8,8
1,2,5,8,8
1,2,6,8,8
1,2,7,8,8
1,2,8,8,8
1,2,9,8,8
1,2,10,8,8
1,2,11,8,8
1,2,12,8,8
1,2,13,8,8
1,2,14,8,8
1,2,15,8,8
1,2,16,8,8
1,2,17,8,8
1,2,18,8,8
1,2,19,8,8
1,2,20,8,8
1,2,21,8,8
1,2,22,8,8
1,2,23,8,8
1,2,24,8,8
1,2,25,8,8
1,2,26,8,8
1,2,27,8,8
1,2,28,8,8
1,2,29,8,8
1,2,30,8,8
1,2,31,8,8
1,2,32,8,8
1,2,33,8,8
1,2,34,8,8
1,2,35,8,8
1,2,36,8,8
1,2,37,8,8
1,2,38,8,8
1,2,39,8,8
1,2,40,8,8
1,2,41,8,8
1,2,42,8,8
1,2,43,8,8
1,2,44,8,8
1,2,45,8,8
1,2,46,8,8
1,2,47,8,8
1,2,48,8,8
1,2,49,8,8
1,2,50,8,8
1,2,51,8,8
1,2,52,8,8
1,2,53,8,8
1,2,54,8,8
1,2,55,8,8
1,2,56,8,8
